district,total,enrollment,perhomeless,doubled,hotel,sheltered,unsheltered
National University Academy,12,878,1.37,9,3,0,0
North County Trade Tech High,15,165,9.09,11,0,0,0
"O'Farrell,The",32,1689,1.89,27,1,4,0
Old Town Academy,0,256,0,0,0,0,0
Pathways Academy Charter,9,394,2.28,2,0,7,0
Pivot Charter School - San Diego,15,105,14.29,13,2,0,0
"Preuss School, The",9,816,1.1,5,3,1,0
San Diego Cooperative Charter School 2,2,241,0.83,2,0,0,0
San Diego Virtual School,50,408,12.25,23,2,3,4
SBC High Tech High,31,2485,1.25,0,0,0,0
School for Entrepreneurship and Technology,2,253,0.79,2,0,0,0
SD Global Vision Academy,2,347,0.58,0,0,2,0
SIA Tech,36,1110,3.24,23,3,4,6
Steele Canyon High,10,2163,0.46,6,3,1,0
Urban Discovery Academy Charter,3,485,0.62,2,0,1,0
